Geração,mutacao1,mutacao5,roleta,torneio,elitismo,somente_filhos,uniforme,dois_pontos
1,883,895,900,898,878,900,900,900
2,883,898,898,898,880,900,900,900
3,883,898,895,898,895,900,900,900
4,883,898,900,898,900,900,900,900
5,900,898,898,898,900,900,900,900
6,900,898,895,898,900,900,900,900
7,900,898,898,898,900,900,900,900
8,900,898,898,898,900,900,900,900
9,900,898,898,898,900,900,900,900
10,900,898,898,898,900,900,900,900
11,900,898,895,898,900,900,900,900
12,900,898,895,898,900,900,900,900
13,900,898,900,898,900,900,900,900
14,900,898,895,898,900,900,900,900
15,900,898,898,898,900,900,900,900
16,900,898,898,898,900,900,900,900
17,900,898,898,898,900,900,900,900
18,900,898,900,898,900,900,900,900
19,900,898,900,898,900,900,900,900
20,900,898,900,898,900,900,900,900
21,900,898,900,898,900,900,900,900
22,900,898,900,898,900,900,900,900
23,900,898,898,898,900,900,900,900
24,900,898,895,898,900,900,900,900
25,900,898,895,898,900,900,900,900
26,900,898,900,898,900,900,900,900
27,900,900,900,898,900,900,900,900
28,900,900,895,898,900,900,900,900
29,900,900,895,898,900,900,900,900
30,900,898,900,898,900,900,900,900
31,900,898,900,898,900,900,900,900
32,900,898,900,898,900,900,900,900
33,900,898,900,898,900,900,900,900
34,900,898,900,898,900,900,900,900
35,900,898,895,898,900,900,900,900
36,900,898,895,898,900,900,900,900
37,900,898,895,898,900,900,900,900
38,900,898,895,898,900,900,900,900
39,900,898,900,898,900,900,900,900
40,900,898,895,898,900,900,900,900
41,900,898,895,898,900,900,900,900
42,900,898,900,898,900,900,900,900
43,900,898,900,898,900,900,900,900
44,900,898,900,898,900,900,900,900
45,900,898,895,898,900,900,900,900
46,900,898,900,898,900,900,900,900
47,900,898,900,898,900,900,900,900
48,900,898,900,898,900,900,900,900
49,900,898,900,898,900,900,900,900
50,900,898,900,898,900,900,900,900
51,900,898,895,898,900,900,900,900
52,900,898,900,898,900,900,900,900
53,900,898,900,898,900,900,900,900
54,900,898,900,898,900,900,900,900
